training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/step_time,time/total_time,step
7.2123113,-11.496982,189.83331,391.95862,1.6265402,-10.368519,0.2358269,1.0,134.69315,0.12627533,-7.747578,0.0990175,1.0,0.2771096,-14.080828,-26.44975,0.59368926,0.008411752510070801,42.05876708030701,5000
12.556386,-13.97074,211.93718,474.37378,2.7412884,-9.909254,0.14397371,1.0,198.29668,0.31033665,-7.6924257,0.08522929,1.0,0.2234024,-22.272974,-42.9366,0.72853947,0.003574369955062866,59.930620193481445,10000
7.4029737,-10.103827,182.03668,510.43253,3.0515618,-9.785929,0.11930887,1.0,165.3535,0.29962307,-7.64641,0.07372546,1.0,0.2280699,-25.38603,-55.65429,0.76972306,0.0036092044830322266,77.97664523124695,15000
16.106682,-21.59185,238.22824,564.5014,3.1024287,-9.669023,0.09592742,1.0,169.73581,0.3709107,-7.634842,0.070833415,1.0,0.17461893,-28.006115,-65.89896,1.0673048,0.003620113277435303,96.07721495628357,20000
7.0514026,-7.507112,148.15771,582.67285,3.5339508,-9.615797,0.08528232,1.0,156.0227,0.355124,-7.62,0.06712292,1.0,0.13221298,-30.5017,-73.47177,0.7373986,0.0036294249057769777,114.2243423461914,25000
6.5734735,-8.659853,157.70679,592.86523,3.7424574,-9.679342,0.09799143,1.0,148.80875,0.32759812,-7.618951,0.0668606,1.0,0.19049978,-31.624971,-79.038345,0.95115906,0.003679659080505371,132.62264037132263,30000
8.463323,-7.782672,162.71143,570.206,3.7031188,-9.700722,0.10226734,1.0,178.29272,0.4630777,-7.607768,0.0640649,1.0,0.049181912,-32.30611,-83.75799,1.1566089,0.0036761966228485107,151.00362706184387,35000
6.59875,-7.73418,174.13393,597.1249,3.7251518,-9.696875,0.10149808,1.0,156.04794,0.38884717,-7.605006,0.063374475,1.0,0.087230004,-35.01935,-87.52478,1.4265324,0.0036624727725982666,169.31599402427673,40000
7.0031595,-11.184852,172.11475,597.4144,4.118609,-9.703472,0.1028173,1.0,151.50897,0.36302367,-7.583977,0.058117315,1.0,0.068613425,-35.142426,-90.34464,0.8864199,0.0036735114097595214,187.6835548877716,45000
17.072495,-11.304482,218.3459,615.9851,4.3417745,-9.727772,0.107677296,1.0,158.76736,0.38170275,-7.603653,0.06303625,1.0,0.07256807,-37.900387,-92.94676,1.1250038,0.003683124256134033,206.09917879104614,50000
11.9101925,-10.362164,222.56184,601.87964,3.997222,-9.7765045,0.11742377,1.0,197.04858,0.42347905,-7.5979815,0.0616182,1.0,0.09258036,-36.32235,-94.834335,1.1180367,0.004616836547851563,229.18336486816406,55000
15.730721,-15.706111,242.68996,599.04193,3.705203,-9.792631,0.12064912,1.0,168.96877,0.35556722,-7.6013346,0.062456615,1.0,0.088065825,-38.402298,-96.74373,1.5651859,0.003705379390716553,247.71026420593262,60000
21.050146,-24.89759,262.57254,624.0569,4.1796317,-9.75123,0.11236916,1.0,170.62616,0.32777882,-7.593109,0.060400367,1.0,0.08122198,-36.3156,-98.1562,1.5801674,0.0036857129096984865,266.13883423805237,65000
17.039978,-18.053028,249.64395,629.20154,4.232196,-9.696814,0.10148543,1.0,190.89557,0.4509053,-7.592567,0.0602647,1.0,0.20592174,-37.119324,-99.10982,1.352051,0.0036843517303466796,284.5605959892273,70000
6.3598475,-7.624026,268.11493,630.8751,4.303711,-9.648241,0.09177127,1.0,183.12154,0.47175285,-7.5915213,0.06000333,1.0,0.24322432,-38.04837,-100.00525,2.0851986,0.0036840588092803953,302.9808931350708,75000
15.489128,-11.189217,229.78574,647.68726,3.9583924,-9.872177,0.13655828,1.0,154.33528,0.2697198,-7.594842,0.06083345,1.0,0.0026485436,-37.152256,-100.56502,1.3094184,0.0036856289386749267,321.4090406894684,80000
8.6723,-6.473408,194.01732,614.59827,3.9152653,-9.731337,0.108390406,1.0,173.77771,0.3719406,-7.583933,0.058106214,1.0,0.1468375,-36.857185,-100.68975,1.2384169,0.003684084415435791,339.8294653892517,85000
11.273682,-6.7870846,232.63902,643.22284,4.467372,-9.774275,0.11697805,1.0,158.78165,0.26942056,-7.590086,0.059644494,1.0,0.093975544,-36.62404,-101.34774,1.7802651,0.00367667932510376,358.2128646373749,90000
21.062462,-26.230366,300.4879,639.18445,4.553558,-9.811562,0.12443515,1.0,181.38998,0.37829012,-7.5791817,0.056918457,1.0,0.15745723,-38.15883,-101.39032,1.4810853,0.003681695365905762,376.6213438510895,95000
10.666554,-8.775483,215.33174,639.3471,4.724521,-9.712946,0.10471231,1.0,163.67526,0.38158777,-7.58057,0.05726555,1.0,0.022232976,-37.016895,-102.21974,1.4880176,0.003676540946960449,395.00405168533325,100000
9.510562,-8.040041,191.3993,643.9594,4.4720726,-9.680737,0.09827036,1.0,172.2691,0.34015176,-7.595804,0.06107404,1.0,0.30526203,-42.157536,-102.1057,1.5379999,0.004693028974533081,418.46920108795166,105000
