visualization/mean_value,visualization/std_value,visualization/min_value,visualization/max_value,step
-4.273416042327881,0.15205320715904236,-4.654687404632568,-3.6331257820129395,1
-133.1279296875,45.70197677612305,-232.9009552001953,-5.164494514465332,50000
-151.89044189453125,54.251426696777344,-299.61895751953125,-9.417638778686523,100000
-143.40399169921875,45.17091369628906,-285.8251953125,-7.667324542999268,150000
-132.27174377441406,43.892032623291016,-249.60372924804688,0.03766593337059021,200000
-119.47716522216797,45.528350830078125,-249.77859497070312,0.13839152455329895,250000
-118.69703674316406,46.716453552246094,-185.219482421875,-0.41331857442855835,300000
-148.854736328125,65.33123779296875,-296.69287109375,-0.08320935070514679,350000
-137.24691772460938,58.30696105957031,-295.62286376953125,-0.7383524179458618,400000
-103.02339935302734,29.422142028808594,-177.55819702148438,0.35680460929870605,450000
-143.69549560546875,63.32592010498047,-280.17303466796875,0.10508811473846436,500000
-71.86808776855469,59.3546142578125,-267.8957214355469,2.3442933559417725,550000
-136.75881958007812,46.2654914855957,-221.64366149902344,-0.1184777021408081,600000
-136.31991577148438,87.99551391601562,-323.8183898925781,0.5895963311195374,650000
-150.93858337402344,61.72615051269531,-289.308837890625,-0.9433466196060181,700000
-115.73873138427734,67.4864273071289,-285.53350830078125,0.5084872245788574,750000
-78.64743041992188,43.070919036865234,-215.44692993164062,2.8557333946228027,800000
-90.46544647216797,39.540122985839844,-183.65310668945312,7.323037147521973,850000
-78.62762451171875,44.50662612915039,-168.55734252929688,12.33187198638916,900000
-56.213294982910156,32.46554183959961,-118.64338684082031,15.200227737426758,950000
-37.13311767578125,26.120922088623047,-119.38029479980469,8.499488830566406,1000000
