pointmaze-medium-navigate-v0	GCBC	0
pointmaze-medium-navigate-v0	GCBC	1
pointmaze-medium-navigate-v0	GCBC	2
pointmaze-medium-navigate-v0	GCBC	3
pointmaze-medium-navigate-v0	GCBC	4
pointmaze-medium-navigate-v0	GCIVL	0
pointmaze-medium-navigate-v0	GCIVL	1
pointmaze-medium-navigate-v0	GCIVL	2
pointmaze-medium-navigate-v0	GCIVL	3
pointmaze-medium-navigate-v0	GCIVL	4
pointmaze-medium-navigate-v0	GCIQL	0
pointmaze-medium-navigate-v0	GCIQL	1
pointmaze-medium-navigate-v0	GCIQL	2
pointmaze-medium-navigate-v0	GCIQL	3
pointmaze-medium-navigate-v0	GCIQL	4
pointmaze-medium-navigate-v0	HIQL	0
pointmaze-medium-navigate-v0	HIQL	1
pointmaze-medium-navigate-v0	HIQL	2
pointmaze-medium-navigate-v0	HIQL	3
pointmaze-medium-navigate-v0	HIQL	4
pointmaze-large-navigate-v0	GCBC	0
pointmaze-large-navigate-v0	GCBC	1
pointmaze-large-navigate-v0	GCBC	2
pointmaze-large-navigate-v0	GCBC	3
pointmaze-large-navigate-v0	GCBC	4
pointmaze-large-navigate-v0	GCIVL	0
pointmaze-large-navigate-v0	GCIVL	1
pointmaze-large-navigate-v0	GCIVL	2
pointmaze-large-navigate-v0	GCIVL	3
pointmaze-large-navigate-v0	GCIVL	4
pointmaze-large-navigate-v0	GCIQL	0
pointmaze-large-navigate-v0	GCIQL	1
pointmaze-large-navigate-v0	GCIQL	2
pointmaze-large-navigate-v0	GCIQL	3
pointmaze-large-navigate-v0	GCIQL	4
pointmaze-large-navigate-v0	HIQL	0
pointmaze-large-navigate-v0	HIQL	1
pointmaze-large-navigate-v0	HIQL	2
pointmaze-large-navigate-v0	HIQL	3
pointmaze-large-navigate-v0	HIQL	4
pointmaze-giant-navigate-v0	GCBC	0
pointmaze-giant-navigate-v0	GCBC	1
pointmaze-giant-navigate-v0	GCBC	2
pointmaze-giant-navigate-v0	GCBC	3
pointmaze-giant-navigate-v0	GCBC	4
pointmaze-giant-navigate-v0	GCIVL	0
pointmaze-giant-navigate-v0	GCIVL	1
pointmaze-giant-navigate-v0	GCIVL	2
pointmaze-giant-navigate-v0	GCIVL	3
pointmaze-giant-navigate-v0	GCIVL	4
pointmaze-giant-navigate-v0	GCIQL	0
pointmaze-giant-navigate-v0	GCIQL	1
pointmaze-giant-navigate-v0	GCIQL	2
pointmaze-giant-navigate-v0	GCIQL	3
pointmaze-giant-navigate-v0	GCIQL	4
pointmaze-giant-navigate-v0	HIQL	0
pointmaze-giant-navigate-v0	HIQL	1
pointmaze-giant-navigate-v0	HIQL	2
pointmaze-giant-navigate-v0	HIQL	3
pointmaze-giant-navigate-v0	HIQL	4
pointmaze-teleport-navigate-v0	GCBC	0
pointmaze-teleport-navigate-v0	GCBC	1
pointmaze-teleport-navigate-v0	GCBC	2
pointmaze-teleport-navigate-v0	GCBC	3
pointmaze-teleport-navigate-v0	GCBC	4
pointmaze-teleport-navigate-v0	GCIVL	0
pointmaze-teleport-navigate-v0	GCIVL	1
pointmaze-teleport-navigate-v0	GCIVL	2
pointmaze-teleport-navigate-v0	GCIVL	3
pointmaze-teleport-navigate-v0	GCIVL	4
pointmaze-teleport-navigate-v0	GCIQL	0
pointmaze-teleport-navigate-v0	GCIQL	1
pointmaze-teleport-navigate-v0	GCIQL	2
pointmaze-teleport-navigate-v0	GCIQL	3
pointmaze-teleport-navigate-v0	GCIQL	4
pointmaze-teleport-navigate-v0	HIQL	0
pointmaze-teleport-navigate-v0	HIQL	1
pointmaze-teleport-navigate-v0	HIQL	2
pointmaze-teleport-navigate-v0	HIQL	3
pointmaze-teleport-navigate-v0	HIQL	4
pointmaze-medium-stitch-v0	GCBC	0
pointmaze-medium-stitch-v0	GCBC	1
pointmaze-medium-stitch-v0	GCBC	2
pointmaze-medium-stitch-v0	GCBC	3
pointmaze-medium-stitch-v0	GCBC	4
pointmaze-medium-stitch-v0	GCIVL	0
pointmaze-medium-stitch-v0	GCIVL	1
pointmaze-medium-stitch-v0	GCIVL	2
pointmaze-medium-stitch-v0	GCIVL	3
pointmaze-medium-stitch-v0	GCIVL	4
pointmaze-medium-stitch-v0	GCIQL	0
pointmaze-medium-stitch-v0	GCIQL	1
pointmaze-medium-stitch-v0	GCIQL	2
pointmaze-medium-stitch-v0	GCIQL	3
pointmaze-medium-stitch-v0	GCIQL	4
pointmaze-medium-stitch-v0	HIQL	0
pointmaze-medium-stitch-v0	HIQL	1
pointmaze-medium-stitch-v0	HIQL	2
pointmaze-medium-stitch-v0	HIQL	3
pointmaze-medium-stitch-v0	HIQL	4
pointmaze-large-stitch-v0	GCBC	0
pointmaze-large-stitch-v0	GCBC	1
pointmaze-large-stitch-v0	GCBC	2
pointmaze-large-stitch-v0	GCBC	3
pointmaze-large-stitch-v0	GCBC	4
pointmaze-large-stitch-v0	GCIVL	0
pointmaze-large-stitch-v0	GCIVL	1
pointmaze-large-stitch-v0	GCIVL	2
pointmaze-large-stitch-v0	GCIVL	3
pointmaze-large-stitch-v0	GCIVL	4
pointmaze-large-stitch-v0	GCIQL	0
pointmaze-large-stitch-v0	GCIQL	1
pointmaze-large-stitch-v0	GCIQL	2
pointmaze-large-stitch-v0	GCIQL	3
pointmaze-large-stitch-v0	GCIQL	4
pointmaze-large-stitch-v0	HIQL	0
pointmaze-large-stitch-v0	HIQL	1
pointmaze-large-stitch-v0	HIQL	2
pointmaze-large-stitch-v0	HIQL	3
pointmaze-large-stitch-v0	HIQL	4
pointmaze-giant-stitch-v0	GCBC	0
pointmaze-giant-stitch-v0	GCBC	1
pointmaze-giant-stitch-v0	GCBC	2
pointmaze-giant-stitch-v0	GCBC	3
pointmaze-giant-stitch-v0	GCBC	4
pointmaze-giant-stitch-v0	GCIVL	0
pointmaze-giant-stitch-v0	GCIVL	1
pointmaze-giant-stitch-v0	GCIVL	2
pointmaze-giant-stitch-v0	GCIVL	3
pointmaze-giant-stitch-v0	GCIVL	4
pointmaze-giant-stitch-v0	GCIQL	0
pointmaze-giant-stitch-v0	GCIQL	1
pointmaze-giant-stitch-v0	GCIQL	2
pointmaze-giant-stitch-v0	GCIQL	3
