pointmaze-medium-navigate-v0	gcbc	0	-	0.99	-	-	-
pointmaze-medium-navigate-v0	gcbc	1	-	0.99	-	-	-
pointmaze-medium-navigate-v0	gcbc	2	-	0.99	-	-	-
pointmaze-medium-navigate-v0	gcbc	3	-	0.99	-	-	-
pointmaze-medium-navigate-v0	gcbc	4	-	0.99	-	-	-
pointmaze-medium-navigate-v0	gcivl	0	10.0	0.99	-	-	-
pointmaze-medium-navigate-v0	gcivl	1	10.0	0.99	-	-	-
pointmaze-medium-navigate-v0	gcivl	2	10.0	0.99	-	-	-
pointmaze-medium-navigate-v0	gcivl	3	10.0	0.99	-	-	-
pointmaze-medium-navigate-v0	gcivl	4	10.0	0.99	-	-	-
pointmaze-medium-navigate-v0	gciql	0	0.003	0.99	-	-	-
pointmaze-medium-navigate-v0	gciql	1	0.003	0.99	-	-	-
pointmaze-medium-navigate-v0	gciql	2	0.003	0.99	-	-	-
pointmaze-medium-navigate-v0	gciql	3	0.003	0.99	-	-	-
pointmaze-medium-navigate-v0	gciql	4	0.003	0.99	-	-	-
pointmaze-medium-navigate-v0	hiql	0	-	0.99	-	-	--agent.high_alpha=3.0 --agent.low_alpha=3.0
pointmaze-medium-navigate-v0	hiql	1	-	0.99	-	-	--agent.high_alpha=3.0 --agent.low_alpha=3.0
pointmaze-medium-navigate-v0	hiql	2	-	0.99	-	-	--agent.high_alpha=3.0 --agent.low_alpha=3.0
pointmaze-medium-navigate-v0	hiql	3	-	0.99	-	-	--agent.high_alpha=3.0 --agent.low_alpha=3.0
pointmaze-medium-navigate-v0	hiql	4	-	0.99	-	-	--agent.high_alpha=3.0 --agent.low_alpha=3.0
pointmaze-large-navigate-v0	gcbc	0	-	0.99	-	-	-
pointmaze-large-navigate-v0	gcbc	1	-	0.99	-	-	-
pointmaze-large-navigate-v0	gcbc	2	-	0.99	-	-	-
pointmaze-large-navigate-v0	gcbc	3	-	0.99	-	-	-
pointmaze-large-navigate-v0	gcbc	4	-	0.99	-	-	-
pointmaze-large-navigate-v0	gcivl	0	10.0	0.99	-	-	-
pointmaze-large-navigate-v0	gcivl	1	10.0	0.99	-	-	-
pointmaze-large-navigate-v0	gcivl	2	10.0	0.99	-	-	-
pointmaze-large-navigate-v0	gcivl	3	10.0	0.99	-	-	-
pointmaze-large-navigate-v0	gcivl	4	10.0	0.99	-	-	-
pointmaze-large-navigate-v0	gciql	0	0.003	0.99	-	-	-
pointmaze-large-navigate-v0	gciql	1	0.003	0.99	-	-	-
pointmaze-large-navigate-v0	gciql	2	0.003	0.99	-	-	-
pointmaze-large-navigate-v0	gciql	3	0.003	0.99	-	-	-
pointmaze-large-navigate-v0	gciql	4	0.003	0.99	-	-	-
pointmaze-large-navigate-v0	hiql	0	-	0.99	-	-	--agent.high_alpha=3.0 --agent.low_alpha=3.0
pointmaze-large-navigate-v0	hiql	1	-	0.99	-	-	--agent.high_alpha=3.0 --agent.low_alpha=3.0
pointmaze-large-navigate-v0	hiql	2	-	0.99	-	-	--agent.high_alpha=3.0 --agent.low_alpha=3.0
pointmaze-large-navigate-v0	hiql	3	-	0.99	-	-	--agent.high_alpha=3.0 --agent.low_alpha=3.0
pointmaze-large-navigate-v0	hiql	4	-	0.99	-	-	--agent.high_alpha=3.0 --agent.low_alpha=3.0
