training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/step_time,time/total_time,step
1.0067024,-2.2341473,0.0067024417,0.3962701,10.976089,0.99999994,-10.976089,1.0,1.8120058,0.0,-12.071186,-25.992542,0.96834946,-1.1520013,23.000338,0.5255535,-11.689075,-25.24766,0.0015680387,0.004973536348342895,24.86768388748169,5000
1.0065837,-2.2042203,0.0066126613,0.3663432,14.069106,0.999971,-14.068698,1.0,4.278954,0.0,-16.879333,-42.635773,1.3607932,-0.82033193,29.276325,1.0003735,-16.61448,-42.08817,0.012540544,0.0020912838459014893,35.3241069316864,10000
1.006684,-2.2279997,0.0066839997,0.3901227,15.913447,0.99999994,-15.913447,1.0,16.52792,0.0,-21.805393,-56.86312,6.584693,-4.3776293,112.30303,1.2145034,-21.507793,-56.66179,0.012260716,0.002116197395324707,45.90509748458862,15000
1.0064466,-2.1488864,0.0064466596,0.3110095,15.5615425,0.9999999,-15.5615425,1.0,5.6389875,0.0,-22.737278,-66.67102,2.1101394,-1.8656198,49.976295,1.4273374,-22.426685,-66.32622,0.014076658,0.002098449993133545,56.3973503112793,20000
1.0065464,-2.1821527,0.0065464578,0.3442756,15.491335,0.9999999,-15.491335,1.0,12.662919,0.0,-23.405699,-73.816376,7.8510957,-6.712652,188.56778,1.3657413,-23.049713,-73.308075,0.039229434,0.0021078835010528564,66.93677020072937,25000
1.006481,-2.160368,0.0064811036,0.32249087,15.802172,0.99999994,-15.802172,1.0,8.956877,0.0,-25.671597,-80.00069,12.52869,-11.661743,225.69743,1.2273525,-25.473736,-79.74777,0.048060004,0.0027452404499053954,80.6629753112793,30000
1.0064518,-2.1506596,0.006451979,0.31278253,15.184576,0.9999999,-15.184576,1.0,5.6811137,0.0,-24.990545,-83.891205,9.695676,-8.386439,190.50684,1.2161162,-24.79422,-83.628784,0.06622113,0.002101657009124756,91.1712634563446,35000
1.0065267,-2.1755953,0.006526786,0.33771837,16.640999,0.99999994,-16.640999,1.0,7.5187855,0.0,-26.292864,-87.46112,12.9348955,-30.05657,216.2661,1.1866193,-26.08432,-87.058426,0.022064004,0.002105078601837158,101.69665956497192,40000
1.0065854,-2.1951437,0.0065854313,0.35726663,15.920786,0.99999994,-15.920786,1.0,18.743565,0.0,-26.757235,-89.05476,48.26061,-56.246307,631.5627,1.6097287,-26.477036,-89.23154,0.039616913,0.002109625768661499,112.2447919845581,45000
1.0066123,-2.2041786,0.006612536,0.36630154,17.381672,0.9999998,-17.381672,1.0,27.36289,0.0,-26.257627,-90.95052,16.2752,-14.356641,201.48724,1.4475797,-26.150097,-90.90498,0.024194445,0.002100206708908081,122.7458279132843,50000
1.0064789,-2.1596713,0.0064790137,0.3217942,16.59336,0.9999999,-16.59336,1.0,11.098511,0.0,-28.24367,-93.38513,11.729883,-6.942523,137.55043,2.3072398,-28.118584,-93.77653,0.034554884,0.0027040130615234373,136.26589584350586,55000
1.0067412,-2.2471013,0.006741304,0.4092242,16.876423,0.9999999,-16.876423,1.0,18.54798,0.0,-28.09123,-93.55886,14.197914,-25.616323,297.27393,1.2482753,-28.01081,-94.09719,0.048385635,0.0021039897441864014,146.78584742546082,60000
1.006451,-2.1503668,0.0064511,0.31248978,16.304993,0.9999999,-16.304993,1.0,16.499456,0.0,-27.111101,-93.98714,9.790842,-17.430561,215.616,1.1555029,-27.030012,-93.9264,0.12754147,0.0020991723537445066,157.28171157836914,65000
1.0066458,-2.2152944,0.0066458825,0.37741718,17.29639,0.99999994,-17.29639,1.0,28.970818,0.0,-31.575504,-95.29567,48.874832,-38.78318,603.1868,1.293271,-31.47235,-95.61622,0.056253187,0.0021121939182281494,167.8426854610443,70000
1.0064645,-2.1791635,0.0065374905,0.34128633,17.162514,0.999927,-17.161263,1.0,27.453379,0.0,-28.094173,-95.95733,36.306786,-24.367105,359.93848,1.5283656,-27.711296,-96.15438,0.046704084,0.002105715560913086,178.37126636505127,75000
1.0065612,-2.187089,0.006561267,0.34921202,16.95079,0.9999999,-16.95079,1.0,20.603008,0.0,-28.317375,-95.9338,10.611737,-8.056667,159.23297,1.257562,-28.088604,-96.16789,0.05301765,0.0027189612865448,191.96607613563538,80000
1.006633,-2.2325134,0.00669754,0.39463645,17.665237,0.99993545,-17.664099,1.0,9.541779,0.0,-28.76732,-96.93705,18.511541,-12.777299,152.35477,2.3088787,-28.659843,-96.6117,0.03356287,0.0021164687156677246,202.5484220981598,85000
