training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/step_time,time/total_time,step
1.0066051,-2.2017136,0.0066051404,0.36383635,10.971866,1.0,-10.971866,1.0,1.8120058,0.0,-12.071186,-25.992542,0.96834946,-1.1520013,22.986582,0.5255535,-11.689075,-25.24766,0.0015680387,0.004936670303344727,24.683353900909424,5000
1.0065463,-2.202488,0.0066074636,0.36461085,14.070448,0.9999388,-14.069588,1.0,4.278954,0.0,-16.879333,-42.635773,1.3607932,-0.82033193,29.273418,1.0003735,-16.61448,-42.08817,0.012540544,0.002074213933944702,35.054425954818726,10000
1.0065387,-2.1795998,0.0065387986,0.34172243,15.920263,0.99999994,-15.920263,1.0,16.52792,0.0,-21.805393,-56.86312,6.584693,-4.3776293,112.29764,1.2145034,-21.507793,-56.66179,0.012260716,0.0020807397365570066,45.45812726020813,15000
1.0065145,-2.1715317,0.006514596,0.33365476,15.561452,1.0,-15.561452,1.0,5.6389875,0.0,-22.737278,-66.67102,2.1101394,-1.8656198,49.97951,1.4273374,-22.426685,-66.32622,0.014076658,0.002082353925704956,55.86990141868591,20000
1.0065135,-2.1711912,0.006513573,0.33331412,15.486412,0.9999999,-15.486412,1.0,12.662919,0.0,-23.405699,-73.816376,7.8510957,-6.712652,188.58015,1.3657413,-23.049713,-73.308075,0.039229434,0.002081561279296875,66.27771234512329,25000
1.0065007,-2.1669426,0.0065008276,0.32906562,15.803969,0.99999994,-15.803969,1.0,8.956877,0.0,-25.671597,-80.00069,12.52869,-11.661743,225.70076,1.2273525,-25.473736,-79.74777,0.048060004,0.0026580095291137695,79.56776285171509,30000
1.0064663,-2.1554184,0.006466255,0.31754124,15.188181,1.0,-15.188181,1.0,5.6811137,0.0,-24.990545,-83.891205,9.695676,-8.386439,190.51755,1.2161162,-24.79422,-83.628784,0.06622113,0.0020899477958679197,90.01750445365906,35000
1.006559,-2.1863604,0.006559082,0.3484835,16.637342,0.99999994,-16.637342,1.0,7.5187855,0.0,-26.292864,-87.46112,12.9348955,-30.05657,216.26422,1.1866193,-26.08432,-87.058426,0.022064004,0.0020982672691345215,100.5088438987732,40000
1.0068004,-2.26682,0.00680046,0.42894298,15.928438,0.99999994,-15.928438,1.0,18.743565,0.0,-26.757235,-89.05476,48.26061,-56.246307,631.5921,1.6097287,-26.477036,-89.23154,0.039616913,0.002101019859313965,111.0139491558075,45000
1.0066439,-2.2146893,0.006644068,0.37681228,17.377647,0.9999999,-17.377647,1.0,27.36289,0.0,-26.257627,-90.95052,16.2752,-14.356641,201.4887,1.4475797,-26.150097,-90.90498,0.024194445,0.0021172133922576905,121.60001850128174,50000
1.006513,-2.1710286,0.006513086,0.3331517,16.59623,0.9999999,-16.59623,1.0,11.098511,0.0,-28.24367,-93.38513,11.729883,-6.942523,137.52756,2.3072398,-28.118584,-93.77653,0.034554884,0.002726245832443237,135.2312526702881,55000
1.0067745,-2.2582161,0.006774648,0.42033905,16.871843,0.9999999,-16.871843,1.0,18.54798,0.0,-28.09123,-93.55886,14.197914,-25.616323,297.27795,1.2482753,-28.01081,-94.09719,0.048385635,0.0020959994316101073,145.71125507354736,60000
1.0064154,-2.1449828,0.006434948,0.30710575,16.305178,0.9999804,-16.30486,1.0,16.499456,0.0,-27.111101,-93.98714,9.790842,-17.430561,215.62227,1.1555029,-27.030012,-93.9264,0.12754147,0.0020946332931518555,156.18442606925964,65000
1.0066117,-2.2039485,0.006611845,0.3660713,17.29922,0.9999999,-17.29922,1.0,28.970818,0.0,-31.575504,-95.29567,48.874832,-38.78318,603.17395,1.293271,-31.47235,-95.61622,0.056253187,0.0020946052551269532,166.65745735168457,70000
1.0065327,-2.1899745,0.0065699234,0.3520975,17.160381,0.9999627,-17.159742,1.0,27.453379,0.0,-28.094173,-95.95733,36.306786,-24.367105,359.94766,1.5283656,-27.711296,-96.15438,0.046704084,0.0020981321811676026,177.14812064170837,75000
1.0065469,-2.182343,0.006547029,0.3444659,16.949251,0.9999999,-16.949251,1.0,20.603008,0.0,-28.317375,-95.9338,10.611737,-8.056667,159.23355,1.257562,-28.088604,-96.16789,0.05301765,0.0026956028461456298,190.6261374950409,80000
1.0065963,-2.200404,0.0066012116,0.36252683,17.67134,0.9999951,-17.671257,1.0,9.541779,0.0,-28.76732,-96.93705,18.511541,-12.777299,152.35942,2.3088787,-28.659843,-96.6117,0.03356287,0.0020978148937225343,201.11521410942078,85000
1.0066493,-2.2164545,0.0066493633,0.3785774,17.968233,0.9999999,-17.968233,1.0,22.755112,0.0,-28.983711,-96.425766,11.299772,-10.964812,188.77773,1.2862339,-28.948698,-96.266174,0.045782804,0.0020996983528137206,211.61371159553528,90000
1.0065596,-2.1865578,0.0065596737,0.3486808,17.395992,0.99999994,-17.395992,1.0,10.787432,0.0,-31.37947,-96.586266,45.613663,-46.369835,498.7257,1.3006837,-31.194523,-96.55178,0.09053276,0.0021016201972961428,222.12181568145752,95000
