training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/step_time,time/total_time,step
6.8909802,-7.750198,192.02779,318.1855,2.0285077,-10.375425,0.23720789,1.0,187.41135,0.058670152,-7.7288084,0.09432499,1.0,-0.023393273,-20.048864,-29.736217,0.5675682,0.008528798007965088,42.64399194717407,5000
8.292324,-7.514406,192.1251,463.6997,3.2108064,-9.789516,0.120026134,1.0,220.47388,0.24139684,-7.6994753,0.086991906,1.0,0.12232531,-32.649982,-54.445,0.9505136,0.003623025941848755,60.75912427902222,10000
5.8655148,-4.8574967,222.40523,537.3784,4.104396,-9.688806,0.09988406,1.0,222.18118,0.17936549,-7.653364,0.07546407,1.0,0.10171203,-42.38462,-78.889465,1.8769683,0.0036460949897766113,78.98960185050964,15000
21.212774,-28.197115,297.70544,593.17676,4.584651,-9.803118,0.12274664,1.0,246.5957,0.29123586,-7.630802,0.06982352,1.0,0.17122081,-52.462547,-102.67952,2.555632,0.003652633237838745,97.25277590751648,20000
19.23917,-12.4665785,311.18515,623.30206,5.7166677,-9.778218,0.11776673,1.0,268.43152,0.49845207,-7.615798,0.066072516,1.0,0.21795681,-61.559036,-124.54761,2.7127964,0.0036624570846557616,115.56506443023682,25000
7.162253,-5.883935,241.5553,629.3201,6.0295606,-9.650718,0.09226649,1.0,287.62433,0.62555623,-7.61124,0.06493294,1.0,0.15566063,-68.27155,-145.50748,3.3487597,0.0036673392295837404,133.90176367759705,30000
8.554808,-10.29734,335.43246,627.6764,6.442976,-9.708223,0.10376747,1.0,286.90613,0.65593386,-7.596116,0.061152045,1.0,0.26305676,-74.21492,-166.63718,4.284768,0.0036694794178009035,152.2491638660431,35000
17.993525,-20.899088,401.4585,638.713,6.285622,-9.773055,0.11673396,1.0,305.19943,0.6995555,-7.6022696,0.06269042,1.0,0.17050137,-80.80212,-187.89932,6.662633,0.003674386119842529,170.62109756469727,40000
15.0687,-27.013939,563.9003,643.37305,6.895476,-9.72643,0.107408956,1.0,275.40897,0.3633598,-7.584632,0.058281004,1.0,0.032442756,-85.04402,-207.9501,7.0761423,0.003676118993759155,189.0016951560974,45000
21.52267,-33.041813,641.679,673.31885,7.566377,-9.798315,0.12178606,1.0,281.98184,0.41997623,-7.6126556,0.06528691,1.0,0.41078058,-91.16499,-228.72269,7.244026,0.003679221487045288,207.3978054523468,50000
14.6967945,-10.269915,374.60986,657.2681,7.1987324,-9.771507,0.11642436,1.0,305.68436,0.74796844,-7.586897,0.058847293,1.0,0.43413562,-93.133675,-250.01042,4.841335,0.004609203672409057,230.44382667541504,55000
11.817404,-12.1392145,458.89374,641.83325,6.2538085,-9.822345,0.1265918,1.0,264.8463,0.37908688,-7.599275,0.061941758,1.0,0.24956408,-100.33203,-270.9427,7.2645483,0.003716593360900879,249.02679634094238,60000
